Comment,Designator,Footprint,JLCPCB Part#
1N4148WT,"D3,D7,D19,D35,D17,D30,D8,D28,D2,D34,D10,D13,D32,D33,D23,D22,D9,D12,D24,D4,D16,D21,D25,D20,D11,D31,D1,D27,D18,D26,D14,D6,D15,D5,D29",D_SOD-523,C414017 
SW_Push,"SW24,SW30,SW17,SW9,SW7,SW22,SW20,SW34,SW3,SW10,SW8,SW12,SW15,SW18,SW35,SW2,SW14,SW28,SW21,SW16,SW33,SW31,SW32,SW23,SW5,SW26,SW6,SW11,SW1,SW19,SW13,SW29,SW4,SW27,SW25",SW_TS-1187A-B-A-B,C318884 
KMR2,SW37,BTN_KMR2_4.6X2.8,C99271 
USB_C,X1,USB_C_CUSB31-CFM2AX-01-X,C2765186 
R_Small_US,"R1,R2",R_0402_1005Metric,C269674 
10uF,"C5,C6,C15,C17,C19,C1,C18,C16,C3,C2,C10,C11,C12",0805-NO,C90545 
5.1K,"R11,R12,R6,R5",0603-NO,C328370 
AP2127K-3.3,U2,SOT-23-5,C156285 
100K,"R3,R4",0603-NO,C365065 
10K,"R16,R19,R18,R13,R9,R10",0603-NO,C269701 
200K,"R15,R14",0603-NO,C328345
MCP73831T-2ACI/OT,U4,SOT23-5,C424093
1uF,"C8,C14,C13,C4",0805-NO,C89190
4.7K,R17,0805-NO,C328399
DMG3415U,Q1,SOT23-R,C709946
ORANGE,D37,CHIPLED_0603_NOOUTLINE,C375450
0.1uF,"C7,C9",0805-NO,C396718
ESP32-PICO-MINI-02MINI,X2,ESP32-PICO-MINI,C2980306
DUAL NPN,Q4,SOT363,C62892
AP2112-3.3,"U1,U3",SOT23-5,C51118
SI2302,Q2,SOT23,C2891732 
47K,R7,RESPACK_4X0603,C12027
MBR540,D36,SOD-123,C8598
10K Pack,R8,RESPACK_4X0603,C29718
BSS138,Q3,SOT363,C779245
CP2102N-24,IC1,QFN24_4MM_SMSC,C969151
TCA8418,IC2,QFN24_4MM_SMSC,C138713
